(121, 154, 213)
(161, 191, 138)
(59, 94, 156)
(61, 102, 163)
(87, 122, 184)
(161, 191, 138)
(64, 105, 166)
(64, 105, 166)
(64, 105, 166)
(90, 128, 184)
(160, 189, 141)
(97, 136, 196)
(161, 191, 138)
(163, 193, 140)
(161, 191, 138)
(163, 193, 140)
(161, 191, 138)
(161, 191, 138)
(161, 191, 138)
(160, 190, 134)
(119, 158, 217)
(115, 158, 215)
(60, 98, 155)
(163, 193, 140)
(87, 122, 184)
(160, 190, 134)
(61, 102, 163)
(104, 140, 203)
(64, 105, 166)
(97, 136, 196)
(97, 136, 196)
(163, 193, 140)
(104, 140, 203)
(161, 191, 138)
(163, 193, 140)
(90, 128, 184)
(161, 191, 138)
(161, 190, 142)
(97, 136, 196)
(163, 193, 140)
(117, 153, 217)
(161, 191, 138)
(160, 190, 134)
(61, 102, 163)
(117, 153, 217)
(87, 122, 184)
(160, 189, 141)
(161, 190, 142)
(164, 190, 142)
(90, 128, 184)
(161, 190, 142)
(161, 191, 138)
(164, 190, 142)
(107, 107, 182)
(163, 193, 140)
(117, 153, 217)
(87, 122, 184)
(161, 191, 138)
(115, 158, 215)
(161, 191, 138)
(163, 193, 140)
(121, 121, 203)
(105, 99, 188)
(121, 121, 203)
(105, 99, 188)
(181, 181, 141)
(181, 181, 141)
(181, 181, 141)
(160, 189, 141)
(161, 190, 142)
(163, 193, 140)
(163, 193, 140)
(161, 191, 138)
(60, 98, 155)
(94, 148, 196)
(94, 148, 196)
(182, 171, 156)
(92, 157, 178)
(94, 148, 196)
(94, 148, 196)
(94, 148, 196)
(94, 148, 196)
(94, 148, 196)
(94, 148, 196)
(97, 136, 196)
(163, 193, 140)
(163, 193, 140)
(106, 118, 181)
(106, 118, 181)
(106, 118, 181)
(106, 118, 181)
(106, 118, 181)
(161, 191, 138)
(115, 158, 215)
(161, 191, 138)
(115, 158, 215)
(115, 158, 215)
(161, 191, 138)
(161, 190, 142)
(161, 191, 138)
(161, 191, 138)
(161, 191, 138)
(161, 190, 142)
(115, 158, 215)
(117, 153, 217)
(61, 102, 163)
(87, 122, 184)
(161, 191, 138)
(161, 191, 138)
(97, 136, 196)
(97, 136, 196)
(163, 193, 140)
(161, 191, 138)
(115, 158, 215)
(161, 191, 138)
(115, 158, 215)
(115, 158, 215)
(161, 191, 138)
(181, 181, 141)
(161, 191, 138)
(90, 128, 184)
(161, 191, 138)
(161, 191, 138)
(118, 154, 215)
(160, 189, 141)
(163, 193, 140)
(163, 193, 140)
(181, 181, 141)
(160, 189, 141)
(115, 158, 215)
(121, 154, 213)
(161, 191, 138)
(104, 140, 203)
(117, 128, 194)
(161, 191, 138)
(163, 193, 140)
(163, 193, 140)
(64, 105, 166)
(117, 153, 217)
(161, 191, 138)
(161, 191, 138)
(160, 190, 134)
(119, 158, 217)
(117, 153, 217)
(87, 122, 184)
(121, 154, 213)
(64, 105, 166)
(61, 102, 163)
