Circle1:
(80, 151, 143)
(28, 124, 113)
(129, 178, 174)
(138, 185, 177)
(127, 183, 172)
(164, 190, 189)
(28, 120, 115)
(153, 189, 187)
(147, 195, 183)
(148, 191, 181)
(147, 188, 180)
(34, 127, 117)
(40, 124, 108)
(40, 116, 104)
(147, 198, 193)
(130, 187, 181)
(75, 142, 135)
(159, 188, 184)
(147, 191, 190)
(30, 125, 119)
(120, 171, 166)
(158, 193, 187)
(35, 122, 103)
(42, 123, 114)
(149, 184, 180)
(150, 180, 178)
(35, 134, 113)
(26, 134, 118)
(151, 203, 190)
(116, 176, 168)
(61, 139, 126)
(26, 116, 106)
(70, 138, 125)
(161, 193, 188)
(35, 118, 110)
(93, 159, 145)
(154, 196, 184)
(80, 147, 140)
(48, 124, 112)
(41, 125, 112)
(28, 123, 115)
(153, 192, 187)
(39, 114, 109)
(146, 194, 182)
(144, 186, 185)
(153, 185, 184)
(40, 122, 110)
(41, 118, 108)
(94, 160, 148)
(156, 185, 180)
(96, 155, 149)
(120, 173, 165)
(60, 134, 121)
(53, 135, 121)
(147, 197, 196)
(47, 113, 111)
(24, 126, 113)
(95, 160, 152)
(149, 186, 179)
(159, 195, 191)
(33, 116, 106)
(146, 190, 189)
(150, 186, 184)
(23, 130, 114)
(72, 143, 129)
(165, 190, 194)
(33, 120, 112)
(43, 123, 112)
(158, 189, 184)
(23, 123, 111)
(35, 118, 100)
(159, 185, 182)
(143, 188, 183)
(97, 164, 155)
(106, 174, 163)
(91, 162, 148)
(88, 147, 145)
(25, 115, 105)
(26, 122, 111)
(151, 191, 183)
(152, 187, 181)
(98, 153, 150)
(36, 117, 108)
(27, 122, 116)
(26, 131, 116)
(72, 147, 140)
(26, 123, 112)
(155, 190, 184)
(39, 117, 104)
(35, 125, 116)
(29, 122, 114)
(36, 121, 114)
(74, 140, 130)
(145, 195, 192)
(44, 115, 109)
(110, 170, 162)
(148, 181, 174)
(55, 126, 118)
(148, 200, 187)
(160, 186, 183)
(32, 122, 110)
(92, 155, 147)
(31, 115, 102)
(147, 197, 186)
(47, 124, 116)
(50, 123, 112)
(141, 190, 186)
(140, 191, 182)
(77, 144, 137)
(95, 163, 152)
(150, 189, 184)
(130, 189, 183)
(159, 191, 188)
(51, 123, 120)
(87, 150, 141)
(72, 150, 136)
(42, 122, 111)
(142, 188, 178)
(142, 187, 182)
(71, 143, 129)
(43, 119, 109)
(152, 193, 187)
(36, 123, 114)
(158, 188, 186)
(16, 123, 113)
(143, 184, 180)
(162, 191, 189)
(20, 127, 111)
(25, 122, 111)
(35, 136, 120)
(151, 190, 185)
(160, 189, 184)
(26, 119, 109)
(155, 186, 181)
(134, 189, 186)
(145, 191, 189)
(129, 184, 178)
(148, 196, 184)
(148, 188, 180)
(144, 196, 192)
(32, 118, 107)
(24, 132, 108)
(147, 193, 183)
(148, 189, 181)
(153, 187, 186)
(164, 192, 195)
(41, 117, 105)
(59, 136, 120)
(122, 175, 167)
(150, 195, 190)
(105, 175, 164)
(146, 181, 177)
(112, 173, 168)
(147, 196, 193)
(163, 188, 193)
(140, 187, 179)
(75, 148, 139)
(94, 155, 147)
(34, 125, 116)
(158, 198, 190)
(159, 194, 188)
(33, 115, 103)
(36, 123, 104)
(30, 122, 117)
(130, 185, 180)
(53, 130, 120)
(27, 133, 110)
(139, 184, 177)
(125, 187, 172)
(155, 188, 181)
(20, 122, 108)
(162, 194, 189)
(27, 120, 112)
(132, 189, 183)
(133, 185, 181)
(28, 125, 108)
(160, 195, 189)
(44, 125, 116)
(126, 187, 180)
(35, 116, 109)
(29, 124, 116)
(41, 138, 118)
(13, 120, 110)
(138, 189, 182)
(83, 144, 136)
(119, 174, 168)
(89, 158, 153)
(153, 193, 192)
(21, 123, 110)
(118, 179, 171)
(148, 187, 182)
(157, 186, 181)
(137, 186, 180)
(122, 182, 174)
(147, 192, 185)
(96, 161, 153)
(150, 187, 180)
(40, 120, 109)
(86, 156, 148)
(34, 117, 107)
(150, 191, 187)
(130, 191, 186)
(149, 192, 183)
(34, 121, 113)
(23, 128, 114)
(24, 124, 112)
(53, 126, 117)
(33, 126, 116)
(98, 165, 156)
(158, 190, 189)
(27, 123, 112)
(29, 127, 112)
(158, 187, 183)
(26, 128, 115)
(155, 195, 187)
(70, 142, 130)
(151, 192, 188)
(152, 188, 186)
